2023-03-15T17:58:20.109640+0300 INFO 
temperature = 100
max_volume = 1.0
time_boil = 10
volume = 0.4
status = False
2023-03-15T17:58:20.111646+0300 INFO Kettle ON
2023-03-15T17:58:21.120324+0300 INFO temperature = 0.0
2023-03-15T17:58:22.133778+0300 INFO temperature = 0.0
2023-03-15T17:58:23.141222+0300 INFO temperature = 0.0
2023-03-15T17:58:24.146369+0300 INFO temperature = 0.0
2023-03-15T17:58:25.149160+0300 INFO temperature = 0.0
2023-03-15T17:58:26.154781+0300 INFO temperature = 0.0
2023-03-15T17:58:27.165112+0300 INFO temperature = 0.0
2023-03-15T17:58:28.169259+0300 INFO temperature = 0.0
2023-03-15T17:58:29.174609+0300 INFO temperature = 0.0
2023-03-15T17:58:30.176888+0300 INFO temperature = 0.0
2023-03-15T17:58:31.183206+0300 INFO temperature = 0.0
2023-03-15T17:58:32.196700+0300 INFO temperature = 0.0
2023-03-15T17:58:33.211852+0300 INFO temperature = 0.0
2023-03-15T17:58:34.213071+0300 INFO temperature = 0.0
2023-03-15T17:58:35.226371+0300 INFO temperature = 0.0
2023-03-15T17:58:36.231219+0300 INFO temperature = 0.0
2023-03-15T17:58:37.236301+0300 INFO temperature = 0.0
2023-03-15T17:58:38.240297+0300 INFO temperature = 0.0
2023-03-15T17:58:39.244716+0300 INFO temperature = 0.0
2023-03-15T17:58:40.250697+0300 INFO temperature = 0.0
